disease,question,label
thrombocytopaenia,"for thrombocytopaenia, isolated thrombocytopenia causes?",thrombocytopaenia causes
thrombocytopaenia,"for thrombocytopaenia, potential complications of isolated thrombocytopenia?",thrombocytopaenia complications
thrombocytopaenia,"for thrombocytopaenia, isolated thrombocytopenia diagnosis?",thrombocytopaenia diagnosis
thrombocytopaenia,"for thrombocytopaenia, isolated thrombocytopenia treatment?",thrombocytopaenia treatment
hypoglycemia,what is hypoglycemia? Tell me about hypoglycemia? What kind of disease is hypoglycemia? Can you elaborate on hypoglycemia? What can you tell me about hypoglycemia? Could you describe what hypoglycemia is? I�d like to know more about hypoglycemia. Can you help? What information do you have on hypoglycemia? Could you provide information on hypoglycemia?,hypoglycemia definition
hypoglycemia,"for hypoglycemia, what are the symptoms of hypoglycemia??",hypoglycemia symptoms
hypoglycemia,"for hypoglycemia, what causes hypoglycemia??",hypoglycemia causes
hypoglycemia,"for hypoglycemia, how is hypoglycemia diagnosed??",hypoglycemia diagnosis
hypoglycemia,"for hypoglycemia, complications from spells of hypoglycemia?",hypoglycemia complications
hypoglycemia,"for hypoglycemia, how can episodes of hypoglycemia be prevented??",hypoglycemia prevention
pneumonia aspiration,what is pneumonia aspiration? Tell me about pneumonia aspiration? What kind of disease is pneumonia aspiration? Can you elaborate on pneumonia aspiration? What can you tell me about pneumonia aspiration? Could you describe what pneumonia aspiration is? I�d like to know more about pneumonia aspiration. Can you help? What information do you have on pneumonia aspiration? Could you provide information on pneumonia aspiration?,pneumonia aspiration definition
pneumonia aspiration,"for pneumonia aspiration, what are the symptoms of aspiration pneumonia??",pneumonia aspiration symptoms
pneumonia aspiration,"for pneumonia aspiration, what causes aspiration pneumonia??",pneumonia aspiration causes
pneumonia aspiration,"for pneumonia aspiration, who is at risk for aspiration pneumonia??",pneumonia aspiration risks
pneumonia aspiration,"for pneumonia aspiration, how is aspiration pneumonia diagnosed??",pneumonia aspiration diagnosis
pneumonia aspiration,"for pneumonia aspiration, how can aspiration pneumonia be prevented??",pneumonia aspiration prevention
colitis,what is colitis? Tell me about colitis? What kind of disease is colitis? Can you elaborate on colitis? What can you tell me about colitis? Could you describe what colitis is? I�d like to know more about colitis. Can you help? What information do you have on colitis? Could you provide information on colitis?,colitis definition
colitis,"for colitis, ulcerative colitis symptoms?",colitis symptoms
colitis,"for colitis, ulcerative colitis causes?",colitis causes
colitis,"for colitis, ulcerative colitis diagnosis?",colitis diagnosis
colitis,"for colitis, ulcerative colitis treatment?",colitis treatment
colitis,"for colitis, complications of ulcerative colitis?",colitis complications
colitis,"for colitis, ulcerative colitis risk factors?",colitis risks
colitis,"for colitis, ulcerative colitis prevention?",colitis prevention
diverticulosis,what is diverticulosis? Tell me about diverticulosis? What kind of disease is diverticulosis? Can you elaborate on diverticulosis? What can you tell me about diverticulosis? Could you describe what diverticulosis is? I�d like to know more about diverticulosis. Can you help? What information do you have on diverticulosis? Could you provide information on diverticulosis?,diverticulosis definition
diverticulosis,"for diverticulosis, symptoms of diverticulitis?",diverticulosis symptoms
diverticulosis,"for diverticulosis, causes of diverticulitis?",diverticulosis causes
diverticulosis,"for diverticulosis, what are the complications of diverticulitis??",diverticulosis complications
diverticulosis,"for diverticulosis, diagnosis of diverticulitis?",diverticulosis diagnosis
diverticulosis,"for diverticulosis, treatment for diverticulitis?",diverticulosis treatment
diverticulosis,"for diverticulosis, preventing diverticulitis?",diverticulosis prevention
diverticulosis,"for diverticulosis, risk factors for diverticulitis?",diverticulosis risks
suicide attempt,what is suicide attempt? Tell me about suicide attempt? What kind of disease is suicide attempt? Can you elaborate on suicide attempt? What can you tell me about suicide attempt? Could you describe what suicide attempt is? I�d like to know more about suicide attempt. Can you help? What information do you have on suicide attempt? Could you provide information on suicide attempt?,suicide attempt definition
suicide attempt,"for suicide attempt, symptoms?",suicide attempt symptoms
suicide attempt,"for suicide attempt, risk factors?",suicide attempt risks
suicide attempt,"for suicide attempt, how is suicidal ideation diagnosed??",suicide attempt diagnosis
suicide attempt,"for suicide attempt, how can you prevent suicidal ideation??",suicide attempt prevention
lymphoma,what is lymphoma? Tell me about lymphoma? What kind of disease is lymphoma? Can you elaborate on lymphoma? What can you tell me about lymphoma? Could you describe what lymphoma is? I�d like to know more about lymphoma. Can you help? What information do you have on lymphoma? Could you provide information on lymphoma?,lymphoma definition
lymphoma,"for lymphoma, what are the symptoms of lymphoma??",lymphoma symptoms
lymphoma,"for lymphoma, what are the causes of lymphoma??",lymphoma causes
lymphoma,"for lymphoma, what are risk factors for lymphoma??",lymphoma risks
lymphoma,"for lymphoma, how is lymphoma diagnosed??",lymphoma diagnosis
encephalopathy,what is encephalopathy? Tell me about encephalopathy? What kind of disease is encephalopathy? Can you elaborate on encephalopathy? What can you tell me about encephalopathy? Could you describe what encephalopathy is? I�d like to know more about encephalopathy. Can you help? What information do you have on encephalopathy? Could you provide information on encephalopathy?,encephalopathy definition
encephalopathy,"for encephalopathy, what are the types and causes of encephalopathy??",encephalopathy causes
encephalopathy,"for encephalopathy, what are the symptoms of encephalopathy??",encephalopathy symptoms
encephalopathy,"for encephalopathy, how is encephalopathy diagnosed??",encephalopathy diagnosis
encephalopathy,"for encephalopathy, is encephalopathy preventable??",encephalopathy prevention
tricuspid valve insufficiency,what is tricuspid valve insufficiency? Tell me about tricuspid valve insufficiency? What kind of disease is tricuspid valve insufficiency? Can you elaborate on tricuspid valve insufficiency? What can you tell me about tricuspid valve insufficiency? Could you describe what tricuspid valve insufficiency is? I�d like to know more about tricuspid valve insufficiency. Can you help? What information do you have on tricuspid valve insufficiency? Could you provide information on tricuspid valve insufficiency?,tricuspid valve insufficiency definition
tricuspid valve insufficiency,"for tricuspid valve insufficiency, recognizing the signs and symptoms of tricuspid regurgitation?",tricuspid valve insufficiency symptoms
tricuspid valve insufficiency,"for tricuspid valve insufficiency, what causes tricuspid regurgitation??",tricuspid valve insufficiency causes
tricuspid valve insufficiency,"for tricuspid valve insufficiency, how is tricuspid regurgitation diagnosed??",tricuspid valve insufficiency diagnosis
tricuspid valve insufficiency,"for tricuspid valve insufficiency, treatment options for tricuspid regurgitation?",tricuspid valve insufficiency treatment
tricuspid valve insufficiency,"for tricuspid valve insufficiency, potential long-term complications?",tricuspid valve insufficiency complications
tricuspid valve insufficiency,"for tricuspid valve insufficiency, preventing tricuspid regurgitation?",tricuspid valve insufficiency prevention
Alzheimer's disease,what is Alzheimer's disease? Tell me about Alzheimer's disease? What kind of disease is Alzheimer's disease? Can you elaborate on Alzheimer's disease? What can you tell me about Alzheimer's disease? Could you describe what Alzheimer's disease is? I�d like to know more about Alzheimer's disease. Can you help? What information do you have on Alzheimer's disease? Could you provide information on Alzheimer's disease?,Alzheimer's disease definition
Alzheimer's disease,"for Alzheimer's disease, symptoms of alzheimer�s disease?",Alzheimer's disease symptoms
Alzheimer's disease,"for Alzheimer's disease, diagnosing alzheimer�s disease?",Alzheimer's disease diagnosis
Alzheimer's disease,"for Alzheimer's disease, other alzheimer�s treatments?",Alzheimer's disease treatment
Alzheimer's disease,"for Alzheimer's disease, alzheimer�s disease causes and risk factors?",Alzheimer's disease causes
Alzheimer's disease,"for Alzheimer's disease, preventing alzheimer�s?",Alzheimer's disease prevention
candidiasis or oral candidiasis,what is candidiasis or oral candidiasis? Tell me about candidiasis or oral candidiasis? What kind of disease is candidiasis or oral candidiasis? Can you elaborate on candidiasis or oral candidiasis? What can you tell me about candidiasis or oral candidiasis? Could you describe what candidiasis or oral candidiasis is? I�d like to know more about candidiasis or oral candidiasis. Can you help? What information do you have on candidiasis or oral candidiasis? Could you provide information on candidiasis or oral candidiasis?,candidiasis or oral candidiasis definition
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, symptoms of oral thrush?",candidiasis or oral candidiasis symptoms
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, what causes oral thrush??",candidiasis or oral candidiasis causes
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, what are the risk factors for oral thrush??",candidiasis or oral candidiasis risks
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, what are the complications of oral thrush??",candidiasis or oral candidiasis complications
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, how do doctors diagnose oral thrush??",candidiasis or oral candidiasis diagnosis
candidiasis or oral candidiasis,"for candidiasis or oral candidiasis, how do you prevent oral thrush??",candidiasis or oral candidiasis prevention
neuropathy,what is neuropathy? Tell me about neuropathy? What kind of disease is neuropathy? Can you elaborate on neuropathy? What can you tell me about neuropathy? Could you describe what neuropathy is? I�d like to know more about neuropathy. Can you help? What information do you have on neuropathy? Could you provide information on neuropathy?,neuropathy definition
neuropathy,"for neuropathy, what are the symptoms of peripheral neuropathy??",neuropathy symptoms
neuropathy,"for neuropathy, what are the causes of peripheral neuropathy??",neuropathy causes
neuropathy,"for neuropathy, how is peripheral neuropathy diagnosed??",neuropathy diagnosis
neuropathy,"for neuropathy, what are the treatment options for peripheral neuropathy??",neuropathy treatment
neuropathy,"for neuropathy, how can i prevent peripheral neuropathy??",neuropathy prevention
kidney disease,what is kidney disease? Tell me about kidney disease? What kind of disease is kidney disease? Can you elaborate on kidney disease? What can you tell me about kidney disease? Could you describe what kidney disease is? I�d like to know more about kidney disease. Can you help? What information do you have on kidney disease? Could you provide information on kidney disease?,kidney disease definition
kidney disease,"for kidney disease, symptoms of kidney failure?",kidney disease symptoms
kidney disease,"for kidney disease, causes of kidney failure?",kidney disease causes
kidney disease,"for kidney disease, diagnostic tests?",kidney disease diagnosis
kidney disease,"for kidney disease, treatment?",kidney disease treatment
kidney disease,"for kidney disease, complications?",kidney disease complications
kidney disease,"for kidney disease, kidney failure prevention?",kidney disease prevention
glaucoma,what is glaucoma? Tell me about glaucoma? What kind of disease is glaucoma? Can you elaborate on glaucoma? What can you tell me about glaucoma? Could you describe what glaucoma is? I�d like to know more about glaucoma. Can you help? What information do you have on glaucoma? Could you provide information on glaucoma?,glaucoma definition
glaucoma,"for glaucoma, what are the symptoms of glaucoma??",glaucoma symptoms
glaucoma,"for glaucoma, what causes glaucoma??",glaucoma causes
glaucoma,"for glaucoma, who is at risk of glaucoma??",glaucoma risks
glaucoma,"for glaucoma, how is glaucoma diagnosed??",glaucoma diagnosis
glaucoma,"for glaucoma, can glaucoma be prevented??",glaucoma prevention
neoplasm metastasis,what is neoplasm metastasis? Tell me about neoplasm metastasis? What kind of disease is neoplasm metastasis? Can you elaborate on neoplasm metastasis? What can you tell me about neoplasm metastasis? Could you describe what neoplasm metastasis is? I�d like to know more about neoplasm metastasis. Can you help? What information do you have on neoplasm metastasis? Could you provide information on neoplasm metastasis?,neoplasm metastasis definition
neoplasm metastasis,"for neoplasm metastasis, where do metastatic cancers commonly spread to, and what are the symptoms??",neoplasm metastasis symptoms
neoplasm metastasis,"for neoplasm metastasis, how are metastatic cancers diagnosed??",neoplasm metastasis diagnosis
malignant tumor of colon or carcinoma colon,what is malignant tumor of colon or carcinoma colon? Tell me about malignant tumor of colon or carcinoma colon? What kind of disease is malignant tumor of colon or carcinoma colon? Can you elaborate on malignant tumor of colon or carcinoma colon? What can you tell me about malignant tumor of colon or carcinoma colon? Could you describe what malignant tumor of colon or carcinoma colon is? I�d like to know more about malignant tumor of colon or carcinoma colon. Can you help? What information do you have on malignant tumor of colon or carcinoma colon? Could you provide information on malignant tumor of colon or carcinoma colon?,malignant tumor of colon or carcinoma colon definition
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, what are the symptoms of colon cancer??",malignant tumor of colon or carcinoma colon symptoms
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, what causes colon cancer??",malignant tumor of colon or carcinoma colon causes
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, what are the risk factors for colon cancer??",malignant tumor of colon or carcinoma colon risks
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, how is colon cancer diagnosed??",malignant tumor of colon or carcinoma colon diagnosis
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, what are the treatment options for colon cancer??",malignant tumor of colon or carcinoma colon treatment
malignant tumor of colon or carcinoma colon,"for malignant tumor of colon or carcinoma colon, can colon cancer be prevented??",malignant tumor of colon or carcinoma colon prevention
ketoacidosis diabetic,what is ketoacidosis diabetic? Tell me about ketoacidosis diabetic? What kind of disease is ketoacidosis diabetic? Can you elaborate on ketoacidosis diabetic? What can you tell me about ketoacidosis diabetic? Could you describe what ketoacidosis diabetic is? I�d like to know more about ketoacidosis diabetic. Can you help? What information do you have on ketoacidosis diabetic? Could you provide information on ketoacidosis diabetic?,ketoacidosis diabetic definition
ketoacidosis diabetic,"for ketoacidosis diabetic, what are the symptoms of diabetic ketoacidosis??",ketoacidosis diabetic symptoms
ketoacidosis diabetic,"for ketoacidosis diabetic, what causes diabetic ketoacidosis??",ketoacidosis diabetic causes
ketoacidosis diabetic,"for ketoacidosis diabetic, who is at risk for developing diabetic ketoacidosis??",ketoacidosis diabetic risks
ketoacidosis diabetic,"for ketoacidosis diabetic, how is diabetic ketoacidosis diagnosed??",ketoacidosis diabetic diagnosis
ketoacidosis diabetic,"for ketoacidosis diabetic, preventing diabetic ketoacidosis?",ketoacidosis diabetic prevention
tonic-clonic epilepsy or tonic-clonic seizures,what is tonic-clonic epilepsy or tonic-clonic seizures? Tell me about tonic-clonic epilepsy or tonic-clonic seizures? What kind of disease is tonic-clonic epilepsy or tonic-clonic seizures? Can you elaborate on tonic-clonic epilepsy or tonic-clonic seizures? What can you tell me about tonic-clonic epilepsy or tonic-clonic seizures? Could you describe what tonic-clonic epilepsy or tonic-clonic seizures is? I�d like to know more about tonic-clonic epilepsy or tonic-clonic seizures. Can you help? What information do you have on tonic-clonic epilepsy or tonic-clonic seizures? Could you provide information on tonic-clonic epilepsy or tonic-clonic seizures?,tonic-clonic epilepsy or tonic-clonic seizures definition
tonic-clonic epilepsy or tonic-clonic seizures,"for tonic-clonic epilepsy or tonic-clonic seizures, what causes tonic seizures??",tonic-clonic epilepsy or tonic-clonic seizures causes
tonic-clonic epilepsy or tonic-clonic seizures,"for tonic-clonic epilepsy or tonic-clonic seizures, how are seizure disorders diagnosed??",tonic-clonic epilepsy or tonic-clonic seizures diagnosis
respiratory failure,what is respiratory failure? Tell me about respiratory failure? What kind of disease is respiratory failure? Can you elaborate on respiratory failure? What can you tell me about respiratory failure? Could you describe what respiratory failure is? I�d like to know more about respiratory failure. Can you help? What information do you have on respiratory failure? Could you provide information on respiratory failure?,respiratory failure definition
respiratory failure,"for respiratory failure, what are the symptoms of acute respiratory failure??",respiratory failure symptoms
respiratory failure,"for respiratory failure, what causes acute respiratory failure??",respiratory failure causes
respiratory failure,"for respiratory failure, who is at risk for acute respiratory failure??",respiratory failure risks
respiratory failure,"for respiratory failure, diagnosing acute respiratory failure?",respiratory failure diagnosis
respiratory failure,"for respiratory failure, complications?",respiratory failure complications
melanoma,what is melanoma? Tell me about melanoma? What kind of disease is melanoma? Can you elaborate on melanoma? What can you tell me about melanoma? Could you describe what melanoma is? I�d like to know more about melanoma. Can you help? What information do you have on melanoma? Could you provide information on melanoma?,melanoma definition
melanoma,"for melanoma, what are the symptoms of metastatic melanoma??",melanoma symptoms
melanoma,"for melanoma, what are the causes and risk factors of metastatic melanoma??",melanoma causes
melanoma,"for melanoma, how is metastatic melanoma diagnosed??",melanoma diagnosis
malignant neoplasm of lung or carcinoma of lung,what is malignant neoplasm of lung or carcinoma of lung? Tell me about malignant neoplasm of lung or carcinoma of lung? What kind of disease is malignant neoplasm of lung or carcinoma of lung? Can you elaborate on malignant neoplasm of lung or carcinoma of lung? What can you tell me about malignant neoplasm of lung or carcinoma of lung? Could you describe what malignant neoplasm of lung or carcinoma of lung is? I�d like to know more about malignant neoplasm of lung or carcinoma of lung. Can you help? What information do you have on malignant neoplasm of lung or carcinoma of lung? Could you provide information on malignant neoplasm of lung or carcinoma of lung?,malignant neoplasm of lung or carcinoma of lung definition
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, what are the symptoms of lung cancer??",malignant neoplasm of lung or carcinoma of lung symptoms
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, what causes lung cancer??",malignant neoplasm of lung or carcinoma of lung causes
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, risk factors for lung cancer?",malignant neoplasm of lung or carcinoma of lung risks
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, diagnosing lung cancer?",malignant neoplasm of lung or carcinoma of lung diagnosis
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, treatment for lung cancer?",malignant neoplasm of lung or carcinoma of lung treatment
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, home therapies for lung cancer symptoms?",malignant neoplasm of lung or carcinoma of lung symptoms
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, complications of lung cancer?",malignant neoplasm of lung or carcinoma of lung complications
malignant neoplasm of lung or carcinoma of lung,"for malignant neoplasm of lung or carcinoma of lung, tips for lung cancer prevention?",malignant neoplasm of lung or carcinoma of lung prevention
manic disorder,what is manic disorder? Tell me about manic disorder? What kind of disease is manic disorder? Can you elaborate on manic disorder? What can you tell me about manic disorder? Could you describe what manic disorder is? I�d like to know more about manic disorder. Can you help? What information do you have on manic disorder? Could you provide information on manic disorder?,manic disorder definition
manic disorder,"for manic disorder, bipolar disorder symptoms?",manic disorder symptoms
manic disorder,"for manic disorder, bipolar disorder symptoms in women vs. men?",manic disorder symptoms
manic disorder,"for manic disorder, bipolar disorder treatment?",manic disorder treatment
manic disorder,"for manic disorder, causes and risk factors?",manic disorder causes
manic disorder,"for manic disorder, can you prevent bipolar disorder??",manic disorder prevention
personality disorder,what is personality disorder? Tell me about personality disorder? What kind of disease is personality disorder? Can you elaborate on personality disorder? What can you tell me about personality disorder? Could you describe what personality disorder is? I�d like to know more about personality disorder. Can you help? What information do you have on personality disorder? Could you provide information on personality disorder?,personality disorder definition
personality disorder,"for personality disorder, what causes histrionic personality disorder??",personality disorder causes
personality disorder,"for personality disorder, diagnosis of hpd?",personality disorder diagnosis
personality disorder,"for personality disorder, treatment of hpd?",personality disorder treatment
emphysema pulmonary,what is emphysema pulmonary? Tell me about emphysema pulmonary? What kind of disease is emphysema pulmonary? Can you elaborate on emphysema pulmonary? What can you tell me about emphysema pulmonary? Could you describe what emphysema pulmonary is? I�d like to know more about emphysema pulmonary. Can you help? What information do you have on emphysema pulmonary? Could you provide information on emphysema pulmonary?,emphysema pulmonary definition
emphysema pulmonary,"for emphysema pulmonary, what are the symptoms of emphysema??",emphysema pulmonary symptoms
emphysema pulmonary,"for emphysema pulmonary, causes and risk factors?",emphysema pulmonary causes
emphysema pulmonary,"for emphysema pulmonary, how is emphysema diagnosed??",emphysema pulmonary diagnosis
emphysema pulmonary,"for emphysema pulmonary, complications?",emphysema pulmonary complications
emphysema pulmonary,"for emphysema pulmonary, prevention and outlook?",emphysema pulmonary prevention
hemorrhoids,what is hemorrhoids? Tell me about hemorrhoids? What kind of disease is hemorrhoids? Can you elaborate on hemorrhoids? What can you tell me about hemorrhoids? Could you describe what hemorrhoids is? I�d like to know more about hemorrhoids. Can you help? What information do you have on hemorrhoids? Could you provide information on hemorrhoids?,hemorrhoids definition
hemorrhoids,"for hemorrhoids, what causes external hemorrhoids??",hemorrhoids causes
hemorrhoids,"for hemorrhoids, recognizing the symptoms of external hemorrhoids?",hemorrhoids symptoms
hemorrhoids,"for hemorrhoids, who is at risk of external hemorrhoids??",hemorrhoids risks
hemorrhoids,"for hemorrhoids, how are external hemorrhoids diagnosed??",hemorrhoids diagnosis
hemorrhoids,"for hemorrhoids, how can i prevent external hemorrhoids from developing??",hemorrhoids prevention
aphasia,what is aphasia? Tell me about aphasia? What kind of disease is aphasia? Can you elaborate on aphasia? What can you tell me about aphasia? Could you describe what aphasia is? I�d like to know more about aphasia. Can you help? What information do you have on aphasia? Could you provide information on aphasia?,aphasia definition
aphasia,"for aphasia, aphasia symptoms?",aphasia symptoms
aphasia,"for aphasia, aphasia causes?",aphasia causes
aphasia,"for aphasia, who is at risk of aphasia??",aphasia risks
aphasia,"for aphasia, diagnosing aphasia?",aphasia diagnosis
aphasia,"for aphasia, preventing aphasia?",aphasia prevention
obesity morbid,what is obesity morbid? Tell me about obesity morbid? What kind of disease is obesity morbid? Can you elaborate on obesity morbid? What can you tell me about obesity morbid? Could you describe what obesity morbid is? I�d like to know more about obesity morbid. Can you help? What information do you have on obesity morbid? Could you provide information on obesity morbid?,obesity morbid definition
obesity morbid,"for obesity morbid, what causes morbid obesity??",obesity morbid causes
obesity morbid,"for obesity morbid, who is at risk for morbid obesity??",obesity morbid risks
obesity morbid,"for obesity morbid, diagnosing morbid obesity?",obesity morbid diagnosis
obesity morbid,"for obesity morbid, complications of morbid obesity?",obesity morbid complications
obesity morbid,"for obesity morbid, preventing morbid obesity?",obesity morbid prevention
pyelonephritis,what is pyelonephritis? Tell me about pyelonephritis? What kind of disease is pyelonephritis? Can you elaborate on pyelonephritis? What can you tell me about pyelonephritis? Could you describe what pyelonephritis is? I�d like to know more about pyelonephritis. Can you help? What information do you have on pyelonephritis? Could you provide information on pyelonephritis?,pyelonephritis definition
pyelonephritis,"for pyelonephritis, what are the symptoms??",pyelonephritis symptoms
pyelonephritis,"for pyelonephritis, what are the causes??",pyelonephritis causes
pyelonephritis,"for pyelonephritis, are there risk factors??",pyelonephritis risks
pyelonephritis,"for pyelonephritis, diagnosing pyelonephritis?",pyelonephritis diagnosis
pyelonephritis,"for pyelonephritis, potential complications?",pyelonephritis complications
pyelonephritis,"for pyelonephritis, preventing pyelonephritis?",pyelonephritis prevention
endocarditis,what is endocarditis? Tell me about endocarditis? What kind of disease is endocarditis? Can you elaborate on endocarditis? What can you tell me about endocarditis? Could you describe what endocarditis is? I�d like to know more about endocarditis. Can you help? What information do you have on endocarditis? Could you provide information on endocarditis?,endocarditis definition
endocarditis,"for endocarditis, what are the symptoms of endocarditis??",endocarditis symptoms
endocarditis,"for endocarditis, what are the causes of endocarditis??",endocarditis causes
endocarditis,"for endocarditis, risk factors for endocarditis?",endocarditis risks
endocarditis,"for endocarditis, how is endocarditis diagnosed??",endocarditis diagnosis
endocarditis,"for endocarditis, what are the complications associated with endocarditis??",endocarditis complications
endocarditis,"for endocarditis, how can endocarditis be prevented??",endocarditis prevention
pneumothorax,what is pneumothorax? Tell me about pneumothorax? What kind of disease is pneumothorax? Can you elaborate on pneumothorax? What can you tell me about pneumothorax? Could you describe what pneumothorax is? I�d like to know more about pneumothorax. Can you help? What information do you have on pneumothorax? Could you provide information on pneumothorax?,pneumothorax definition
pneumothorax,"for pneumothorax, symptoms of pneumothorax?",pneumothorax symptoms
pneumothorax,"for pneumothorax, causes and types of pneumothorax?",pneumothorax causes
pneumothorax,"for pneumothorax, risk factors for pneumothorax?",pneumothorax risks
pneumothorax,"for pneumothorax, pneumothorax complications?",pneumothorax complications
pneumothorax,"for pneumothorax, treatment of pneumothorax?",pneumothorax treatment
pneumothorax,"for pneumothorax, diagnosing pneumothorax?",pneumothorax diagnosis
delirium,what is delirium? Tell me about delirium? What kind of disease is delirium? Can you elaborate on delirium? What can you tell me about delirium? Could you describe what delirium is? I�d like to know more about delirium. Can you help? What information do you have on delirium? Could you provide information on delirium?,delirium definition
delirium,"for delirium, what causes delirium??",delirium causes
delirium,"for delirium, who�s at risk for delirium??",delirium risks
delirium,"for delirium, symptoms of delirium?",delirium symptoms
delirium,"for delirium, how is delirium diagnosed??",delirium diagnosis
neutropenia,what is neutropenia? Tell me about neutropenia? What kind of disease is neutropenia? Can you elaborate on neutropenia? What can you tell me about neutropenia? Could you describe what neutropenia is? I�d like to know more about neutropenia. Can you help? What information do you have on neutropenia? Could you provide information on neutropenia?,neutropenia definition
neutropenia,"for neutropenia, what are the symptoms of neutropenia??",neutropenia symptoms
neutropenia,"for neutropenia, what causes neutropenia??",neutropenia causes
neutropenia,"for neutropenia, who is at risk??",neutropenia risks
neutropenia,"for neutropenia, diagnosing neutropenia?",neutropenia diagnosis
neutropenia,"for neutropenia, can you prevent neutropenia??",neutropenia prevention
hyperbilirubinemia,what is hyperbilirubinemia? Tell me about hyperbilirubinemia? What kind of disease is hyperbilirubinemia? Can you elaborate on hyperbilirubinemia? What can you tell me about hyperbilirubinemia? Could you describe what hyperbilirubinemia is? I�d like to know more about hyperbilirubinemia. Can you help? What information do you have on hyperbilirubinemia? Could you provide information on hyperbilirubinemia?,hyperbilirubinemia definition
hyperbilirubinemia,"for hyperbilirubinemia, what causes high bilirubin??",hyperbilirubinemia causes
hyperbilirubinemia,"for hyperbilirubinemia, what are the symptoms of high bilirubin??",hyperbilirubinemia symptoms
influenza,what is influenza? Tell me about influenza? What kind of disease is influenza? Can you elaborate on influenza? What can you tell me about influenza? Could you describe what influenza is? I�d like to know more about influenza. Can you help? What information do you have on influenza? Could you provide information on influenza?,influenza definition
influenza,"for influenza, influenza a symptoms?",influenza symptoms
influenza,"for influenza, diagnosing influenza a?",influenza diagnosis
influenza,"for influenza, treatment?",influenza treatment
influenza,"for influenza, prevention?",influenza prevention
dependence,what is dependence? Tell me about dependence? What kind of disease is dependence? Can you elaborate on dependence? What can you tell me about dependence? Could you describe what dependence is? I�d like to know more about dependence. Can you help? What information do you have on dependence? Could you provide information on dependence?,dependence definition
dependence,"for dependence, recognizing the symptoms of drug dependence?",dependence symptoms
thrombus,what is thrombus? Tell me about thrombus? What kind of disease is thrombus? Can you elaborate on thrombus? What can you tell me about thrombus? Could you describe what thrombus is? I�d like to know more about thrombus. Can you help? What information do you have on thrombus? Could you provide information on thrombus?,thrombus definition
thrombus,"for thrombus, dvt symptoms?",thrombus symptoms
thrombus,"for thrombus, causes and risk factors?",thrombus causes
thrombus,"for thrombus, complications?",thrombus complications
thrombus,"for thrombus, treatment?",thrombus treatment
thrombus,"for thrombus, prevention?",thrombus prevention
thrombus,"for thrombus, diagnosis?",thrombus diagnosis
cholecystitis,what is cholecystitis? Tell me about cholecystitis? What kind of disease is cholecystitis? Can you elaborate on cholecystitis? What can you tell me about cholecystitis? Could you describe what cholecystitis is? I�d like to know more about cholecystitis. Can you help? What information do you have on cholecystitis? Could you provide information on cholecystitis?,cholecystitis definition
cholecystitis,"for cholecystitis, what causes chronic cholecystitis??",cholecystitis causes
cholecystitis,"for cholecystitis, symptoms of cholecystitis?",cholecystitis symptoms
cholecystitis,"for cholecystitis, how cholecystitis is diagnosed?",cholecystitis diagnosis
cholecystitis,"for cholecystitis, treatment options for cholecystitis?",cholecystitis treatment
cholecystitis,"for cholecystitis, can chronic cholecystitis be prevented??",cholecystitis prevention
hernia hiatal,what is hernia hiatal? Tell me about hernia hiatal? What kind of disease is hernia hiatal? Can you elaborate on hernia hiatal? What can you tell me about hernia hiatal? Could you describe what hernia hiatal is? I�d like to know more about hernia hiatal. Can you help? What information do you have on hernia hiatal? Could you provide information on hernia hiatal?,hernia hiatal definition
hernia hiatal,"for hernia hiatal, symptoms of a hiatal hernia?",hernia hiatal symptoms
hernia hiatal,"for hernia hiatal, treatment options for hiatal hernias?",hernia hiatal treatment
hernia hiatal,"for hernia hiatal, causes and risk factors for hiatal hernias?",hernia hiatal causes
hernia hiatal,"for hernia hiatal, testing for and diagnosing hiatal hernias?",hernia hiatal diagnosis
hernia hiatal,"for hernia hiatal, prevention of hiatal hernias?",hernia hiatal prevention
